FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY ITEM,Carbon footprint  (kg CO2 eq/kg or litre of food commodity),Type of source,Full Reference,Publication year,System Boundary  Distribution,Country,Region,Notes,Reported in other data summaries,Modification of original values 
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.42,EPD,"BIER, 2012. Research on the carbon footprint of beer. Beverage Industry Environmental Roundtable, June 2012 http://media.wix.com/ugd/49d7a0_70726e8dc94c456caf8a10771fc31625.pdf (accesed 09. 04.2019)",2012,RETAILER,EUROPE,EUROPE,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.568,JOURNAL,"Cimini, A., & Moresi, M. (2016). Carbon footprint of a pale lager packed in different formats: assessment and sensitivity analysis based on transparent data. Journal of Cleaner Production, 112, 4196-4213.",2016,RETAILER,ITALY,MEDITERRANEAN AREA,66.cc. glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.666,JOURNAL,"Cimini, A., & Moresi, M. (2016). Carbon footprint of a pale lager packed in different formats: assessment and sensitivity analysis based on transparent data. Journal of Cleaner Production, 112, 4196-4213.",2016,RETAILER,ITALY,MEDITERRANEAN AREA,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.842,JOURNAL,"Amienyo, D., & Azapagic, A. (2016). Life cycle environmental impacts and costs of beer production and consumption in the UK. The International Journal of Life Cycle Assessment, 21(4), 492-509.",2016,RETAIL,UK,N EUROPE,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,0.961,EPD,"Carlsberg. Environmental Product Declaration of kronenbourg 1664, Registration Number: S-P-00533. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,1.111,EPD,"Carlsberg. Environmental Product Declaration of carlsberg, Registration Number: S-P-00312. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,1.172,EPD,"Carlsberg. Environmental Product Declaration of Poretti 4 Luppoli, Registration Number: S-P-00313. Rev 3, 17.04.2018 , valid 3 years.",2018,RETAILER,ITALY,MEDITERRANEAN AREA,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,1.29,CONFERENCE,"MuÃ±oz, E., Riquelme, C., Cardenas, J. P., 2012. Carbon Footprint of beer â Analysis of a small scale processing plant in Chile. In Proceedings of the 2nd LCA Conference, November, 6-7, 2012, Lille, France.",2012,RETAIL,CHILE,S AMERICA,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER GLASS BOTTLE,2.27,CONFERENCE,"MuÃ±oz, E., Riquelme, C., Cardenas, J. P., 2012. Carbon Footprint of beer â Analysis of a small scale processing plant in Chile. In Proceedings of the 2nd LCA Conference, November, 6-7, 2012, Lille, France.",2012,RETAIL,CHILE,S AMERICA,33.cc.glass bottle,this study,-
AGRICULTURAL PROCESSED,BEER,BEER IN CAN,0.51,JOURNAL,"Amienyo, D., & Azapagic, A. (2016). Life cycle environmental impacts and costs of beer production and consumption in the UK. The International Journal of Life Cycle Assessment, 21(4), 492-509.",2016,RETAIL,UK,N EUROPE,44.cc steel can,this study,-
